name,Current_category,description,Installs,classification_mark,Correct_Category
com.androidlool.ringtones.islamic,Lifestyle,"Islamic Ringtones offer you some of the Best Free Islamic Ringtones to celebrate Islam . Configure an Islamic ringtone to celebrate Allah and be with him at all time Useful to all the Muslims.Islamic ringtones can be set to phone ringtone, SMS ringtone , alarm ringtone , suggesting ringtone, notification ringtone.Stay in touch with your religion, set some of the best religious songs as ringtones and feel the presence of Allah every time your phone is ringing. Features:- Set as ringtone for android / contact ringtone / alarm sound / sms sound- Set widget button of favorite sounds on your phone home - Assign to a contact",1000000,1,Personalization
com.androidlord.barcodescanner,Shopping,"The QR & Barcode Scanner reads barcodes and QR codes. The QR & Barcode Scanner is designed to read barcodes and QR codes. The scanner can be used to scan multiple barcode formats and QR codes, automatically decode their contents, or even to create and share your own QR codes. Main Features:Reads barcodes and QR codes. Automatically scans, recognizes, and decodes QR codes and barcodes.Unrecognized barcodes can also be typed in manually. Use to scan and read codes in batches. Use single key to open app corresponding to scan results.Auto-archives all scanned records, making them available at any time -- even when there is no Internet connection. Generates QR codes. Turn bookmarks, email addresses, text, contacts, SMS, apps, and calendar events to QR codes and share through social networks.",1000000,1,Tools
air.com.GirlyRoomDecorationGame,Game,"Decorating can be lots of fun and with this room decoration game, you can show your creative skills and decorate a bedroom just the way you like it. With this free decorating game you can select the room type you want, before choosing a bed, seating option, desk, wall hangings, lights, rugs, wardrobes, as well as windows, floor type, wall colour, and any final finishing touches. So if you have an interior designer in your heart and love room decoration, why not try your hand at this fun decoration game today and see what masterpiece you come up with to show your friends and family. Features: ? Easily select a room you would like to decorate for yourself. ? Find and decorate the room with the bed of your dreams. ? Add a comfortable seating option for friends to sit in.? Have fun choosing a desk and mirror to complete your hair and makeup before heading out. ? Decorate the room by adding wall hangings and lights to compliment your bedroom. ? Accessorize by adding a rug or wardrobe that matches your bed and wall hangings. ? Renovate and add an additional window to let more sunlight in. ? Change the floor to timber, tiles or carpet to add that extra effect. ? Decorate and change the wall colour and patterns for that unique style. ? Add the final finishing touches with teddies, lamps, plants and more.",50000000,0,
com.androidrocker.qrscanner,Shopping,"QR code readers are so commonly used, but this app is the best!Features:* Scan and read QR code and barcode with the camera* Scan and read QR code and barcode from an image on your phone.* Create QR code from contacts, app, bookmark, clipboard or any text you input. * Share QR code with your friends via Facebook, Twitter, Flipboard, Wechat, text message or any other social networks.This app is developed based on the ZXing library, Apache License 2.0.",5000000,1,Tools
com.androidsx.easygallery,Photography,"Show and manage all your pictures/videos on your PC, Mac or TV with just one tap from your Android phone!Just hit ""Start"" in your phone, and you can watch the photos of last night's party in a cool full-screen gallery in your PC.No need for a USB cable, or any other software. Just your Android, a WiFi connection, and a browser.Many features:∴ Watch all the pictures stored in your phone from any browser, remotely∴ Play videos: Browse your videos from your computer browser∴ It works in any browser: Mozilla Firefox, Google Chrome, Internet Explorer, Safari on Mac, and even smart TVs or the Nintendo Wii!∴ Security: pick a password, so that others in your WiFi can't see your photos∴ Download the full-resolution pictures to your computer∴ Share your pictures in Facebook, Twitter, Flickr∴ Edit your photos on-line with Picnik or Rollip∴ Hide pictures: Show only the pictures you want in the gallery, for enhanced privacy∴ Bulk downloads: Download many pictures to your computer with just one click∴ Manage pictures: delete pictures stored in your phone comfortably from your browserThis is a new application, so please let us know if anything should be improved!Note: we never store any sort of private information anywhere. Never, ever. Unlike iCloud ;)Old names of the app: Media Show on PC, Wifi Photo Explorer and Remote Gallery 3D, Wifi Photos Manager+This application is brought to you totally free with the help of search monetization. I have opted to use this to be able to keep creating more free apps for you. Please note that with this app you will receive a few search points on your device, all are easily deleted or replaced. Thank you for your understanding.",1000000,0,
air.com.HouseDecorationAndDesign,Game,Decorate your entire house with this cute house decoration game. You'll start by picking out all of the furniture items that you need for decorating your home. Make a theme or mix and match different pieces for a really cool design. You can even design each room so that everyone has their own space in the house. Design your dream house today with this fun decoration game!Features:? Pick out cool furniture for your house.? Plan out a theme for your house or make it all up as you go.? Change the arrangements of your home anytime you want.? Freedom to decorate as you like.,5000000,0,
com.bruce.ringtonepicker,Music & Audio,"Sms ringtones picker. Set your contact sms ringtone, default sms text ringtone, default phone ringtone and contact phone ringtone.You can set custom sms text ringtones for each of your contacts if you wish.If you have Go SMS installed, you must uninstall it, then install this app, then re-install it or sms tones will not work. Or, uncheck the 'Disable other message notification' setting in 'Receive Settings' of GO SMS advanced settings.Ringtone picker, custom text sms ringtones, custom text ringtones. contact ringtones.",1000000,1,Personalization
appinventor.ai_jak_lebanon.MovieGem,Video Players & Editors,This app is no longer available!Please download our other app with the same featuresApp: Bollywoodlove - News,10000000,1,News & Magazines
com.brunopiovan.avozdazueira,Comics,"The Zueira's Voice is an app that allows you to generate audio from text with the Google Voice Translator (voice of Philip, translator's voice, the narrator's voice) fastest Google Play. Create audio and share it with your friends!The app features the voice of Philip's voice Manoel (voice of Eusebio), voice of Chinese, voice and voice jabiraca Jabiroco. New voices will be added soon!There is no character limit! =)You can save the audio and use so offline.The app uses its own server is not used any server without authorization. The costs of the server are beginning to increase due to the growing number of users, so there is a small banner that does not prejudge in any way the operation of the app.Have fun! Good zueira!",5000000,1,Music & Audio
air.com.TwinBabyRoomDecorationGame,Game,"Give your twin a room that suits their personality with this decoration game. Now you can decorate a beautiful room with fabulous decor. Here you can choose the flooring, walls, windows, furniture, and accessories to compliment the rest of the room. Decorate each twin＊s room in style with this decoration game.Features* Choose a new wall and floor style that compliments your baby perfectly. * Add colorful furniture to your room to highlight the new walls and floor.* Accessorize with all sorts of beautiful toys, rugs and wall hangings to complete the room for a stunning finish. * Add a window or two to let the sunlight in to make them feel warm and cosy.",1000000,0,
au.com.fujifilm.transpix,Photography,"The TransPix application is designed specifically for sending images from an android device to a FUJIFILM kiosk in a retail store environment without using cables.Please note that this application will only function when operated in one of our participating retail stores with a compatible Wi-Fi network.To use this simple high speed image transfer software, please follow these steps.1. Visit your favourite high street photographic retailer who uses FUJIFILM Imagine Kiosk's and FRONTIER digital laboratory equipment.2. Follow the photo kiosk on screen instructions.3. Launch the TransPix application.4. Select your language (available languages varies by retail store)5. Select the kiosk you wish to transfer images to.6. Select the image(s) you wish to send.7. Press 'Send To kiosk'The selected images will now be transferred over the high speed Wi-Fi network directly to the FUJIFILM kiosk. Once the transfer is complete, you should disconnect from the TransPix Wi-Fi network to resume normal connectivity.The in-store kiosk can now be used to order high quality FUJIFILM photographic prints or other imaging products using your own images.Please note that any orders placed on an in-store kiosk will be charged and processed in accordance with the terms and conditions of the individual retailer.The TransPix application is designed only to transfer images stored on your android device to the FUJIFILM kiosk for further selection and manipulation to assist you in creating stunning personalised products.Your device must be connected to the TransPix in-store Wi-Fi network to use this application properly.Note that not all photographic retail stores may support the high speed FUJIFILM TransPix image transfer system, please check with your local store for details.Currently the supported devices include:- Samsung Galaxy S3, Samsung Galaxy S4, Samsung Galaxy S5, Samsung Galaxy S6, Samsung Galaxy Tablet, Samsung Galaxy Nexus, Nexus 5, Samsung Galaxy Tab2 7.0, ASUS Transformer TF700T, Thomson Tablet 7"", Sony Xperia Z1, HTC Sensation and others.We thank our customers for their valuable feedback and have implemented improvements as part of our product development to enhance the in store printing experience from mobile devices.FUJIFILM Australia Pty Ltd.",1000000,0,
acr.browser.raisebrowserfull,Communication,"RITS Browser is a lightweight, fast, secure and safe mobile browser which provides you a speedy and superior surfing experience.Try the best experience of android browser. Surf the world using FASTEST browser.RITS browser will give you following features and functionalities:? Fast Browsing: Optimised for superior browsing experience.? Light-weight: RITS Browser requires less space on your device.? Secure: Incognito browsing protects your privacy.? Safe: It doesn't collect any data without your permission, use it with peace in mind. ? Breaking News: Get real time news whenever it happens and wherever it happens.? Live Cricket: Get real time cricket update on your browser. ? Entertainment: Get all latest videos from entertainment world segmented by language and modes. ? Live TV: Watch your favorite TV channels from list of 20 and growing.? Live Radio & Music: Listen to your favorite radio station without connecting any headphone. Listen to nonstop instrumental music. Hear recitation from Al-Quran whenever you are in the right state.? Horoscope: Know what＊s the day awaits you with.? Recipes: Learn latest & finger liking recipes.? Sharing: Share with your friends and family what you are browsing. ? Add to homescreen: Adding of your favorite sites to your device home screen.? Offline Games: Play game while offline. ? One App: Get everything in one app. RITS Browser is an important App for your android device which has beautiful interface with theme changing option, Incognito mode/private browsing, Facebook Lite Shortcut (Data Saver), Comparison Shortcut (Compare Product), Quote of the day (from your favorite personal), bookmarks import & export, adding of your favorite sites to home screen, offline games (play games without internet), page/content sharing, page/content Search while browsing, multi-tabs management, best support for HTML5, reader mode to read content without pictures, Address bar color sync with website design, speed dial and real time news, desktop/mobile switching option and download your favourite video from any website.RITS Browser is the only app where you get your content served as buffet no matter whether you are from India, Bangladesh or any other country. You don＊t need to search other websites or install apps if you have RITS browser in your android device. The shortcut of the browser will serve you the latest and trendy contents just in a finger tap. To save your device＊s memory & power this one app serves the purpose of multiple apps installation. UP COMING FEATURES:1. MonetisationThis Browser is Developed by Raise IT Solutions Ltd.",1000000,0,
com.bloomberg.android.anywhere,Finance,"Get real-time access to the BLOOMBERG PROFESSIONAL? service on your Android device.Available features:Send and receive messages while on the goUse Instant Bloomberg to stay connected with all your contacts wherever you areGet comprehensive news and alerts from tens of thousands of sources including Bloomberg＊s exclusive coverageMonitor real-time market data, quotes, events, and Eco CalendarsGain deeper insight into your Portfolios by understanding your positions and active betsGet all the pertinent information about a company in one comprehensive and well organized documentNOTE: You must be a Bloomberg Anywhere subscriber, and have a Bloomberg biometric authentication device (B-Unit) to use this service.If you are not yet a Bloomberg Anywhere customer and would like to be connected to the preeminent information source for the world＊s most influential business leaders, please visit http://www.bloomberg.com/professional/ to find out more about the BLOOMBERG PROFESSIONAL? service.",1000000,0,
com.awesome.emulator.awepsp,Tools,"High quality PSP emulator to play PSP (PlayStation Portable) games on your Android device, at high definition with extra features!High quality game graphics and sound as on the original PSP deviceBest game compatibilityBest game controllerSupport Networked game playingSave and load game state easilySupports multiple file formats including .iso/.cso/.elf/.ISO/.CSO/.ELF. Put those in /PSP/GAME on your SD card / USB storage.* PSP and PlayStation Portable is a trademark of Sony, Inc.",5000000,0,
au.com.shiftyjelly.pocketcasts,News & Magazines,"We love podcasts, so we made a podcast player that is full featured, beautiful and easy to use. We're no strangers to awards having been chosen as a Google Play Top Developer, a Google Play Editors Choice and winning a Google Material Design Award. Mostly though, we love you, our customers, which is why we always keep our app relevant and up to date based on your feedback.Here's what a few publications have had to say about it:Android Central: ※Pocket Casts is the best podcast app for Android§The Verge: ""The best podcast app for Android""Still not convinced? Allow us to walk you through some of our features:BEST IN SHOW Material design: Your podcasts have never looked so beautiful, colors change to complement podcast artworkThemes: Choose between dark and light display themesUniversal: Custom but familiar tablet interfacePOWERFUL PLAYBACK Up next: Build a playback queue from your favorite showsTrim silence: Cut silences from episodes so you finish them faster, saving hoursVariable speed: Change the play speed from anywhere between 0.5 to 3xVolume boost: Increase the volume of voices, while decreasing background noiseStream: Play episodes on the flyAudio & video: Play all of your favorite episodes, toggle video to audioSkip playback: Skip episode intros, jump through episodes with custom skip intervalsAndroid Auto: browse your podcasts and filters to find an interesting episode, then control playback. All without ever touching your phoneAndroid Wear: Control playback from your wristSleep timer: We'll pause your episode so you can rest your weary headChromecast: Cast episodes straight to your TV with a single tapSMART TOOLS Sync: Subscriptions, playback and filters are all securely stored in the cloud, ready to sync to the web app or iOSRefresh: Let our servers check for new episodes, so you can get on with your dayNotifications: We'll let you know when new episodes arrive, if you likeAuto download: Automatically download episodes for offline playbackFilters: Custom filters will organize your episodesStorage: All the tools you need to keep your podcasts tamedALL YOUR FAVORITES Discover: Subscribe to any podcast in iTunes and more. Browse by charts, networks and categoriesShare: Spread the word with podcast and episode sharingOPML: Jump on board without any hassle with OPML import. Export your collection at any timeThere are many more powerful, straight-forward features that make Pocket Casts the perfect podcasting app for you. So what are you waiting for?Visit pocketcasts.com for more info about Pocket Casts for the web and iOS.",1000000,1,Video Players & Editors
com.AtmCashAndMoneySimulator,Game,"ATM simulator allows you to pretend to use an ATM machine to take out money.ATM cash and money simulator game is free to use.learn how to withdraw money from the cash machine.get your pretend credit card and code.use the credit card to get cash.produce gold coins and bills at the factory.shop with the money at stores.withdraw cash just like in a real banknot a real ATM , just a ATM simulation.Features:- ATM simulator.- dollar currency.- fun.- full use for free.- easy.",5000000,0,
com.AtmCashAndMoneySimulator2,Game,"ATM simulator 2 allows you to pretend to use an ATM machine to take out money.ATM cash and money simulator game is free to use.learn how to withdraw money from the cash machine.get your pretend credit card and code.use the credit card to get cash.cut down tree and use the wood for the production a dollar bill paper. put in the machine, wood, color and produce dollar bills at the factory.withdraw cash just like in a real banknot a real ATM , just a ATM simulation.Features:- ATM simulator.- dollar currency.- moving cart with wood from obstacles.- full use for free.- fun and easy.",5000000,0,
br.com.escolhatecnologia.voztradutor,Entertainment,"Application that makes reading using the voice of the translator woman, generating an audio voice that can be shared with your friends.For example you can send the audio with the voice of the translator's woman to your friends on WhatsApp∴ Best and funny text to voice tts app∴ Very fast∴ You can share audio with your friends∴ Unlimited text/voice∴ Male and Female voices",5000000,0,
com.appy.guidefake.idmaker,Photography,"IDs, Badges, and more. Make an ID card for yourself. Make a student ID for your cat. Make a credit card for your baby. You could even make an ID for your left foot, if you wanted to! Fake ID Generator makes it easy and fun. For entertainment only.Please note that Fake ID Card Maker or Fake ID Generator For Voter ID Card is meant for entertainment purpose only and this is a prank app that generates FAKE ID Card.Fake ID Generator takes you through a quick process where you enter information that you would like to appear on the ID card or license. You can even add your own photo, and draw your own signature. If you don't feel like including a certain bit of information, no problem, just leave it blank; it's all for fun! In the end, you'll be shown your fully customized ID, which you can save, share with friends, or edit until it's perfect.? Fake Aadhar Card Maker? Fake Voter ID Card Maker? Fake Driving Licence India? Fake Pan Card Maker? Fake ID Card Maker? Blueprint ID? Credit Card? Generic Identification? Employee Badge? FBI ID? Student ID? Police ID? Inmate ID? Movie Ticket? More coming soon!REMEMBER: It is a prank app. The IDs generated by this free application are for entertainment purpose only. The IDs should not be used for any official business because they are not an actual ID.Disclaimer:This app does NOT collect any inputted information or images.This app DOES collect Anonymous data for analytic purposes, such as information about errors, browsing habits, device type, and geographical location. I use this data simply to fix bugs, decide which ID template to make next, and to create an all around better user experience.",5000000,0,
baby.com.CKNToys,Comics,"reviewing kids toys and opening Giant SURPRISE EGG .We love all toys especially Disney Cars, Minions,Batman,Superman,Spiderman,Ironman,Hulk,Thor,Captain America,Thomas and Friend,Miles From Tomorrowland,,Power Rangers Super Megaforce,Power Rangers Super Samurai,Power Rangers Dino Charge,Yo Gabba Gabba,Elmo,Mickey Mouse, and many more .We also love to dress up as Super Heroes and have some role play fun and play fun games in super hero costumes.",5000000,0,
baby.com.FunToyzCollector,Comics,"Welcome to Disney Toys Review Fun Toys Collection of daily toy review videos for toddlers, babies, infants and pre-school children. I review toys n dolls from Disney, Pixar, Nickelodeon, Play Doh, Claymation and much more! Subscribe to watch more daily videos!I",5000000,0,
baby.com.KidsSurpriseFun,Comics,"where we show Play-Doh Clay, surprise eggs, toys, candies, Angry Birds, Chocolate Toys, Kinder Surprise Eggs, Hello Kitty, easter egg coloring, gumball machines and many things more .",1000000,0,
baby.com.SurpriseCollector,Comics,"Surprise Collector are passionate about kids toys and surprises. We do Play Doh surprise videos ! we love learning new things, like shapes, numbers or letters. We collect Surprise Eggs such as Kinder Surprise which have fun toys inside. It is a fun way to meet all of your favourite characters from Frozen, Thomas and Friends, My Little Pony, Paw Patrol, Disney's Toy Story, Barbie and more!",1000000,0,
com.apps.tipsforwhatsapp,Social,"Guide For WhatsApp messenger. This app will help you understand how to use WhatsApp messenger. The application will help users who are still find difficulties understand WhatsApp options and features.Here Detail description of new features included by ""WhatsApp"" in it latest and previous releases about which we are not aware.You can now easily apply this tricks in your WhatsApp Application. Features of Whatsapp Messenger Tips:------------------------------------* This Application will find a guide how Update New Whatsapp Status on your phone.Here Complete guide for how to update whatsapp status on tablet and whatsapp status on pc.* How to hide your LAST SEEN time , so your friends cant understand your online time.* How to have video calls with updated WhatsApp on your phone* know tips on last version of updated WhatsApp Status !* You can know how to setup Whatsapp messenger app to any of your devices,including your tablet or smartphone.* How to pin conversations of whatsapp.* How to install Whatsapp messenger app to any of your device,including your tablet device..* You can learn to install Whatsapp web messenger app to any of your mobile phone or tablet WhatsApp app is the best social messenger application in play store !* Download WhatsApp application and learn its new privacy policy about your securityDisclaimer:This is NOT an Official Guide. The application name is the property of their respective owners. We made this App only as a FREE FAN APP with no cheats, only for those who wants to enjoy the App.If there is any trademark or copyright violation that does not follow within the Fair Use, please contact us and we will immediately take action on it.This Whatsapp Status Guide doesn't have any relationship with the company Whatsapp Inc.",1000000,1,Books & Reference
com.apps21.cursodemaquillaje,Education,"Free professional makeup course step by step, makeup is an essential part on the image of women. Perfect your image and always looks beautiful, learning to makeup, highlighting the most beautiful you.Use the ""Select Language"" button to change the language.",5000000,0,
br.com.verde.alarme,Comics,"NEW UPDATE!!! Added 2 audio options for the alarm sound.The Anti Theft Alarm acts as a motion alarm and protects your phone by sounding an alarm when someone moves your device or unplugs the charger from the outlet. When the alarm is triggered, a photo is taken and sent to your email address. Awesome and fun way to scare your friends, and secure your device at the act of being taken by a potential burglar, thief, or anybody intending to use your phone without your authorization.Catch your friends and sneaky people trying to snoop on your phone with Anti Theft Alarm! Do your friends hack your Facebook status when you leave the room? Does your girlfriend read all your texts when you take a shower? With Anti Theft Alarm, thieves and up-to-no-gooders are greeted with a loud car alarm! It is fun way to catch friends, kids and family members accessing your device without your consent, and, at the same time, prevent your cell phone or tablet from being stolen by a thief or burglar.It has also been used as protection and as an extra security measure for your cell phone. We have received lots of emails from users that have successful avoided their phone from being stolen, by catching the thief in the act of trying to get away with the user's device. Features:Mute function so you can set up the alarm secretly - NEW!!! Phone Charger Unplug Trigger - NEW!!!Revamped Web interface for locking and unlocking the Alarm remotely - NEW!!!Share the photos of the Snooper - Thief via Facebook, Twitter or Instagram - NEW!Receive an Email with a Photo of the Snooper - Thief!Choose your own Alarm Sound! Remote Activation by Internet (lock and unlock)Paranoid Mode (Sounds alarm even if in standby).Motion Alarm (Alarm Triggered by movement) Adjustable SensitivityPassword Protected Unlock6 Unique SkinsTrigger Activation Delay ControlTrigger Deactivation Delay ControlLost Password RecoveryPrice: FREE!What can you do with our app:Scare/joke with your friendsStop curious people from messing with your phone when you are not lookingPhone protection and defence against thieves and burglarsGhost Hunting :) (whether you believe in ghosts or not, our app has been used for that) Protect your computer, purse or personal belongs while you are not looking (by placing the phone with the locked Anti Theft Alarm on top of the computer)Protect your phone while it's being charged (plugged in an outlet)Add an extra layer of security, by stopping the burglar at the act of stealing itAs a Motion Alarm - Motion Sensor - Motion Detector - Detect any movementIf you like Anti Theft Alarm, check out Anti Theft Alarm Pro! Includes all the features above, but without ads.Experiencing problems with the app? Please let us know at hi@jorli.comCheck us out on Facebook at https://www.facebook.com/jorliawesomeapps.Follow us on Twitter at https://twitter.com/jorliapps.Have Fun!-The Jorli TeamThe Anti Theft Alarm acts as a motion alarm / motion sensor / motion detector and protects your phone by sounding an alarm when someone moves your device or unplugs the charger from the outlet.",5000000,1,Personalization
appinventor.ai_pipatsangsi.DogRyderToys,Shopping,"Dog Ryder Toys is shopping list for kids.This app has list of toys, figures.has listRyder's Rescue ATVRocky's Recycling TruckSkye's High Flyin' CopterZuma's Hovercraftand...",1000000,0,
